"﻿""Persoonskenmerken""",Marges,Perioden,"Rookgedrag, 12 jaar of ouder/Rookstatus/Rokers (%)","Rookgedrag, 12 jaar of ouder/Rookstatus/Ex-rokers (%)","Rookgedrag, 12 jaar of ouder/Rookstatus/Nooit-rokers (%)","Rookgedrag, 12 jaar of ouder/Rokers/Dagelijkse rokers onder bevolking (%)","Rookgedrag, 12 jaar of ouder/Rokers/Dagelijkse rokers onder rokers (%)","Rookgedrag, 12 jaar of ouder/Rokers/Zware rokers onder bevolking (%)","Rookgedrag, 12 jaar of ouder/Rokers/Zware rokers onder rokers (%)","Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Sigarettenrokers (%)","Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Sigaretten per dag per roker  (aantal)","Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Rookjaren huidige sigarettenrokers (aantal)","Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Stoppoging in afgelopen 12 maanden (%)","Rookgedrag, 12 jaar of ouder/Ex-sigarettenrokers/Rookjaren ex-sigarettenrokers (aantal)","Rookgedrag, 12 jaar of ouder/Ex-sigarettenrokers/Stopjaren ex-sigarettenrokers (aantal)",Meeroken onder niet-rokers/(Bijna) nooit (%),"Alcoholgebruik, 12 jaar of ouder/Drinkers/Glazen alcohol per dag per drinker (aantal)","Drugsgebruik, 12 jaar of ouder/Cannabisgebruik/Afgelopen jaar (%)","Drugsgebruik, 12 jaar of ouder/Amfetaminegebruik/Afgelopen jaar (%)","Drugsgebruik, 12 jaar of ouder/Ecstasygebruik/Afgelopen jaar (%)","Drugsgebruik, 12 jaar of ouder/Cocaïnegebruik/Afgelopen jaar (%)","Drugsgebruik, 12 jaar of ouder/Gebruik overige drugs/Afgelopen jaar (%)","Drugsgebruik, 12 jaar of ouder/Drugsgebruik totaal/Afgelopen jaar (%)","Lengte en gewicht/Opgegeven gewicht, 18 jaar of ouder (aantal)"
"Herkomst: geb. in NL, ouder(s) in Europa",Waarde,2017,    22.3,    34.8,    42.9,    15.6,,     4.5,,    20.4,,,,    22.4,,,     1.2,    10.2,     0.7,     2.1,     1.5,     0.7,    10.2,    76.7
"Herkomst: geb. NL, ouder(s) buit. Europa",Waarde,2017,    19.9,    17.9,    62.2,    14.6,,     1.6,,    18.4,,,,,,,     1.1,    12.3,     0.8,     3.5,     1.1,     2.5,    13.5,    72.6
Herkomst: geboren buiten Nederland,Waarde,2017,    25.5,    22.8,    51.7,    19.6,    77.1,     4.2,    16.4,    23.2,    10.7,    26.1,    41.8,    17.2,    17.0,,     1.0,     6.7,     0.8,     1.3,     1.0,     1.2,     7.5,    74.6
Herkomst: geboren in Europa (excl. NL),Waarde,2017,    29.8,    30.6,    39.6,    23.7,,     7.4,,    28.9,,,,,,,     1.1,     9.3,     0.4,     1.2,     1.3,     2.1,    10.6,    75.7
Herkomst: geboren buiten Europa,Waarde,2017,    23.7,    19.7,    56.6,    18.0,    75.9,     2.9,    12.0,    20.8,     9.4,    25.4,    41.3,    17.7,    17.3,,     0.9,     5.6,     1.0,     1.3,     0.8,     0.9,     6.2,    74.1
Positie: alleenstaande <40 jaar,Waarde,2017,    35.9,    14.2,    49.8,    23.2,    64.7,     3.3,     9.3,    33.5,     8.0,    11.6,    43.8,,,,     1.6,    25.5,     8.7,    11.7,     9.7,     8.9,    31.3,    75.8
Positie: alleenstaande 40 tot 65 jaar,Waarde,2017,    35.5,    32.3,    32.2,    29.4,    82.8,     8.6,    24.1,    31.7,    12.4,    34.0,    36.9,    19.5,    18.4,,     1.4,     8.1,     0.6,     1.9,     1.8,     0.8,     8.8,    80.3
Positie: alleenstaande >=65 jaar,Waarde,2017,    15.6,    45.4,    38.9,    13.7,,     4.1,,    14.7,,,,    26.8,    30.4,,     1.1,     0.9,     0.2,     0.2,     0.0,     0.2,     1.3,    74.6
"Positie: kind <18 jaar, eenoudergezin",Waarde,2017,     5.2,     2.5,    92.3,     5.2,,     1.7,,     5.2,,,,,,,,     6.1,     0.9,     0.0,     0.0,     0.9,     6.9,
Positie: kind >= 18 jaar eenoudergezin,Waarde,2017,    30.4,     5.5,    64.1,    20.3,,     0.0,,    28.6,,,,,,,,    22.7,     3.9,     9.0,     2.6,     5.1,    25.7,    72.2
